,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ZEC-USD,0.13923211818966807,4.0
1,UMA-USD,AAVE-USD,0.03381519292151647,17.0
2,UMA-USD,ETC-USD,0.12960962567804968,3.0
3,UMA-USD,XTZ-USD,3.1553884848737983,8.0
4,UMA-USD,LINK-USD,0.2229034212638818,4.0
5,UMA-USD,YFI-USD,0.0004539977801299219,10.0
6,UMA-USD,COMP-USD,0.053295510248578225,5.0
7,UMA-USD,FIL-USD,0.44168276327300016,6.0
8,UMA-USD,MATIC-USD,3.912135945582568,9.0
9,UMA-USD,TRX-USD,33.86573633711757,17.0
10,UMA-USD,CRV-USD,5.82103854533204,6.0
11,UMA-USD,DOT-USD,0.4258510769108792,11.0
12,UMA-USD,1INCH-USD,7.239761344702716,9.0
13,UMA-USD,ADA-USD,6.227211925092885,9.0
14,UMA-USD,ENJ-USD,7.688907148709093,12.0
15,UMA-USD,SUSHI-USD,2.3272544862928286,8.0
16,UMA-USD,UNI-USD,0.3351951919867421,2.0
17,UMA-USD,ETH-USD,0.0011685588199386839,2.0
18,UMA-USD,XLM-USD,31.27266368626047,16.0
19,UMA-USD,EOS-USD,3.9679458794988394,6.0
20,UMA-USD,ATOM-USD,0.3435775145029596,9.0
21,SOL-USD,UNI-USD,13.278916096025345,11.0
22,ZEC-USD,AAVE-USD,0.2423381006483847,4.0
23,ZEC-USD,ETC-USD,0.9281949909842352,2.0
24,ZEC-USD,XTZ-USD,22.59388422485982,4.0
25,ZEC-USD,LINK-USD,1.5969828343032018,3.0
26,ZEC-USD,XMR-USD,0.21576544571375447,7.0
27,ZEC-USD,YFI-USD,0.0032518571569091796,3.0
28,ZEC-USD,COMP-USD,0.38146873802541426,3.0
29,ZEC-USD,FIL-USD,3.1631805095704753,3.0
30,ZEC-USD,CRV-USD,41.67187204780587,3.0
31,ZEC-USD,1INCH-USD,51.845222113643445,4.0
32,ZEC-USD,ENJ-USD,55.0207519163108,6.0
33,ZEC-USD,UNI-USD,2.4010484688482743,2.0
34,ZEC-USD,XLM-USD,224.04948687466901,4.0
35,ZEC-USD,EOS-USD,28.421649597316517,3.0
36,AAVE-USD,ETC-USD,3.8209274024182553,5.0
37,AAVE-USD,LINK-USD,6.584719099710544,2.0
38,AAVE-USD,XMR-USD,0.8906876621740552,20.0
